HWY_NO,HWY_SFX_NO,HWY_LONG_NM,HWY_MED_NM,HWY_TERMNT_DT,LAST_UD_DT,LAST_UD_USER_ID,ALT_HWY_NO
21,,Green Springs Highway,GREEN SPRINGS,,2003-03-27T00:00:00,ISCO866,21
22,,Crater Lake Highway,CRATER LAKE,,2003-03-27T00:00:00,ISCO866,22
23,,Dairy-Bonanza Highway,DAIRY-BONANZA,,2003-03-27T00:00:00,ISCO866,23
25,,Redwood Highway,REDWOOD,,2003-03-27T00:00:00,ISCO866,25
26,,Mt. Hood Highway,MT. HOOD,,2003-03-27T00:00:00,ISCO866,26
27,,Alsea Highway,ALSEA,,2003-03-27T00:00:00,ISCO866,27
28,,Pendleton-John Day Highway,PENDLETON-JOHN DAY,,2016-07-11T14:30:38.373,Hwye85p,28
29,,Tualatin Valley Highway,TUALATIN VALLEY,,2016-07-11T14:31:19.607,Hwye85p,29
30,,Willamina-Salem Highway,WILLAMINA-SALEM,,2016-07-11T15:02:23.230,Hwye85p,30
31,,Albany-Corvallis Highway,ALBANY-CORVALLIS,,2016-07-11T14:32:09.473,Hwye85p,31
32,,Three Rivers Highway,THREE RIVERS,,2003-03-27T00:00:00,ISCO866,32
33,,Corvallis-Newport Highway,CORVALLIS-NEWPORT,,2003-03-27T00:00:00,ISCO866,33
35,,Coos Bay-Roseburg Highway,COOS BAY-ROSEBURG,,2003-03-27T00:00:00,ISCO866,35
36,,Pendleton-Cold Springs Highway,PENDLETON-COLD SPRINGS,,2003-03-27T00:00:00,ISCO866,36
37,,Wilson River Highway,WILSON RIVER,,2003-03-27T00:00:00,ISCO866,37
38,,Oregon Caves Highway,OREGON CAVES,,2003-03-27T00:00:00,ISCO866,38
